key,text:ta,ipa:ta,audio:ta,audio source:ta,tags:ta
alive,உயிருடன்,/ujirɯd̪ɐn/,[sound:al_ta_in_alive.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
April,ஏப்ரல்,/eːpɾɐl/,[sound:al_ta_in_april.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
art,கலை,/kɐlɐj/,[sound:al_ta_in_art.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
August,ஆகஸ்ட்,/ɑːɡɐsʈ/,[sound:al_ta_in_august.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
bad,மோசமான,/moːsɐmɑːn/,[sound:al_ta_in_bad.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
beautiful,அழகான,/aɻaɡaːna/,[sound:al_ta_in_beautiful.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
beer,பீர்,/biːr/,[sound:al_ta_in_beer.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
big / large,பெரிய,/peɾija/,[sound:al_ta_in_big_large.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
black,கருப்பு,/kaɾuppu/,[sound:al_ta_in_black.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
blind,குருடு,/kuɾuɖu/,[sound:al_ta_in_blind.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
blood,இரத்தம்,/irattam/,[sound:al_ta_in_blood.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
blue,நீலம்,/niːlam/,[sound:al_ta_in_blue.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
breakfast,காலை உணவு,/kaːlai uɳaʋu/,[sound:al_ta_in_breakfast.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-A,AnkiLangs::TA
brown,பழுப்பு,/paɻuppu/,[sound:al_ta_in_brown.mp3],Google Cloud TTS<br>Voice: ta-IN-Standard-B,AnkiLangs::TA
