locale,key,value
ar_xa,changelog,Changelog
ar_xa,decks,Decks
ar_xa,download_deck,Download deck
ar_xa,installation_instructions,Installation Instructions
ar_xa,learn_other_languages_intro,Learn other languages if you speak Arabic
ar_xa,learning_tips,Learning Tips
ar_xa,minimal_pairs,minimal pairs
ar_xa,notes,Notes
ar_xa,release_date,Released
ar_xa,screenshots,Screenshots
ar_xa,see_x_and_y,See {} and {}.
ar_xa,source_language_decks_header,Arabic Decks
ar_xa,to,ila
ar_xa,unreleased_note,This deck is not yet released and is under development.
ar_xa,version,Version
ar_xa,whats_new_in,What's New in {}
ar_xa,words,kalimat
de_de,ankiweb_also_available,"Auch auf [AnkiWeb]({}) verfügbar. Wenn dir dieser Stapel gefällt, bewerte ihn dort, um anderen Lernenden zu helfen, ihn zu finden!"
de_de,ankiweb_rate_review,"Wenn du diesen Stapel nützlich findest, bewerte ihn bitte und hinterlasse eine Rezension, um anderen Lernenden zu helfen!"
de_de,changelog,Änderungsprotokoll
de_de,check_deck_page_html,"Siehe <a href=""{}"">die Seite dieses Stapels</a> für Updates, Dokumentation und um Probleme zu melden."
de_de,check_more_decks_html,"Mehr Stapel auf <a href=""https://ankilangs.org"">AnkiLangs.org</a>."
de_de,decks,Stapel
de_de,download_deck,Stapel herunterladen
de_de,installation_instructions,Installationsanleitung
de_de,learn_other_languages_intro,"Lerne andere Sprachen, wenn du Deutsch sprichst"
de_de,learning_tips,Lerntipps
de_de,minimal_pairs,Minimalpaar
de_de,notes,Hinweise
de_de,release_date,Veröffentlicht
de_de,screenshots,Screenshots
de_de,see_x_and_y,Siehe {} und {}.
de_de,source_language_decks_header,Deutsche Stapel
de_de,to,zu
de_de,unreleased_note,Dieses Deck ist noch nicht veröffentlicht und befindet sich in der Entwicklung.
de_de,version,Version
de_de,whats_new_in,Was ist neu in {}
de_de,words,Worter
en_us,ankiweb_also_available,"Also available on [AnkiWeb]({}). If you enjoy this deck, please rate it there to help other learners find it!"
en_us,ankiweb_rate_review,"If you find this deck useful, please rate it and leave a review to help other learners find it!"
en_us,changelog,Changelog
en_us,check_deck_page_html,"Check <a href=""{}"">this deck's page</a> for updates, documentation, and to report issues."
en_us,check_more_decks_html,"Check <a href=""https://ankilangs.org"">AnkiLangs.org</a> for more decks."
en_us,decks,Decks
en_us,download_deck,Download deck
en_us,installation_instructions,Installation Instructions
en_us,learn_other_languages_intro,Learn other languages if you speak English
en_us,learning_tips,Learning Tips
en_us,minimal_pairs,Minimal Pairs
en_us,notes,Notes
en_us,release_date,Released
en_us,screenshots,Screenshots
en_us,see_x_and_y,See {} and {}.
en_us,source_language_decks_header,English Decks
en_us,to,to
en_us,unreleased_note,This deck is not yet released and is under development.
en_us,version,Version
en_us,whats_new_in,What's New in {}
en_us,words,Words
es_es,ankiweb_also_available,"También disponible en [AnkiWeb]({}). Si te gusta este mazo, califícalo allí para ayudar a otros estudiantes a encontrarlo."
es_es,ankiweb_rate_review,"Si este mazo te resulta útil, califícalo y deja una reseña para ayudar a otros estudiantes."
es_es,changelog,Registro de cambios
es_es,check_deck_page_html,"Consulta <a href=""{}"">la página de este mazo</a> para actualizaciones, documentación y para reportar problemas."
es_es,check_more_decks_html,"Más mazos en <a href=""https://ankilangs.org"">AnkiLangs.org</a>."
es_es,decks,Mazos
es_es,download_deck,Descargar mazo
es_es,installation_instructions,Instrucciones de instalación
es_es,learn_other_languages_intro,Aprende otros idiomas si hablas español
es_es,learning_tips,Consejos de aprendizaje
es_es,minimal_pairs,pares mínimos
es_es,notes,Notas
es_es,release_date,Publicado
es_es,screenshots,Capturas de pantalla
es_es,see_x_and_y,Ver {} y {}.
es_es,source_language_decks_header,Mazos españoles
es_es,to,a
es_es,unreleased_note,Este mazo aún no está publicado y está en desarrollo.
es_es,version,Versión
es_es,whats_new_in,Novedades en {}
es_es,words,palabras
fr_fr,ankiweb_also_available,"Également disponible sur [AnkiWeb]({}). Si ce paquet vous plaît, notez-le pour aider d'autres apprenants à le trouver !"
