key,text:es,ipa:es,audio:es,audio source:es,tags:es
alive,vivo,/ˈbi.βo/,[sound:al_es_es_alive.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
April,abril,/aˈβɾil/,[sound:al_es_es_april.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
art,el arte,/el ˈaɾ.te/,[sound:al_es_es_art.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
August,agosto,/aˈɣos.to/,[sound:al_es_es_august.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
bad,malo,/ˈma.lo/,[sound:al_es_es_bad.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
beautiful,hermoso,/eɾˈmo.so/,[sound:al_es_es_beautiful.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
beer,la cerveza,/la θeɾˈβe.θa/,[sound:al_es_es_beer.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
big / large,grande,/ˈɡɾan.de/,[sound:al_es_es_big_large.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
black,negro,/ˈneɡɾo/,[sound:al_es_es_black.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
blind,ciego,/ˈθje.ɣo/,[sound:al_es_es_blind.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
blood,la sangre,/la ˈsaŋ.ɡɾe/,[sound:al_es_es_blood.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
blue,azul,/aˈθul/,[sound:al_es_es_blue.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
breakfast,el desayuno,/el de.saˈʝu.no/,[sound:al_es_es_breakfast.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
brown,marrón,/maˈron/,[sound:al_es_es_brown.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
cheap,barato,/baˈɾa.to/,[sound:al_es_es_cheap.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
clay,la arcilla,/la aɾˈθi.ʎa/,[sound:al_es_es_clay.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
clean,limpio,/ˈlim.pjo/,[sound:al_es_es_clean.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
coffee,el café,/el kaˈfe/,[sound:al_es_es_coffee.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
cold,frío,/ˈfɾi.o/,[sound:al_es_es_cold.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
cool,fresco,/ˈfɾes.ko/,[sound:al_es_es_cool.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
copper,el cobre,/el ˈko.βɾe/,[sound:al_es_es_copper.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
curved,curvado,/kuɾˈβa.ðo/,[sound:al_es_es_curved.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
dark,oscuro,/osˈku.ɾo/,[sound:al_es_es_dark.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
dark blue,azul oscuro,/aˈθul osˈkuɾo/,[sound:al_es_es_dark_blue.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
dead,muerto,/ˈmweɾ.to/,[sound:al_es_es_dead.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
deaf,sordo,/ˈsoɾ.ðo/,[sound:al_es_es_deaf.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
death,la muerte,/la ˈmweɾ.te/,[sound:al_es_es_death.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
December,diciembre,/diˈθjem.bɾe/,[sound:al_es_es_december.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
deep,profundo,/pɾoˈfun.do/,[sound:al_es_es_deep.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
diamond,el diamante,/el djaˈman.te/,[sound:al_es_es_diamond.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
dinner,la cena,/la ˈθe.na/,[sound:al_es_es_dinner.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
dirty,sucio,/ˈsu.θjo/,[sound:al_es_es_dirty.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
disease,la enfermedad,/la en.feɾ.meˈðað/,[sound:al_es_es_disease.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
down,abajo,/aˈβa.xo/,[sound:al_es_es_down.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
dry,seco,/ˈse.ko/,[sound:al_es_es_dry.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
dust,el polvo,/el ˈpol.βo/,[sound:al_es_es_dust.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
Earth,la Tierra,/la ˈtjera/,[sound:al_es_es_earth.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
eight (8),ocho,/ˈo.tʃo/,[sound:al_es_es_eight_8.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
eighteen (18),dieciocho,/dje.θiˈo.tʃo/,[sound:al_es_es_eighteen_18.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
eighty (80),ochenta,/oˈtʃen.ta/,[sound:al_es_es_eighty_80.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
eighty-one (81),ochenta y uno,/oˈtʃen.ta i ˈu.no/,[sound:al_es_es_eighty_one_81.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
eighty-two (82),ochenta y dos,/oˈtʃen.ta i ˈðos/,[sound:al_es_es_eighty_two_82.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
eleven (11),once,/ˈon.θe/,[sound:al_es_es_eleven_11.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
energy,la energía,/la e.neɾˈxi.a/,[sound:al_es_es_energy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
exercise,el ejercicio,/el eˈxeɾ.θi.θjo/,[sound:al_es_es_exercise.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
expensive,caro,/ˈka.ɾo/,[sound:al_es_es_expensive.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
famous,famoso,/faˈmo.so/,[sound:al_es_es_famous.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
fast,rápido,/ˈra.pi.ðo/,[sound:al_es_es_fast.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
February,febrero,/feˈβɾe.ɾo/,[sound:al_es_es_february.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
female,femenino,/fe.meˈni.no/,[sound:al_es_es_female.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
fifteen (15),quince,/ˈkin.θe/,[sound:al_es_es_fifteen_15.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
fifth (5th),quinto / quinta,/ˈkin.to/ /ˈkin.ta/,[sound:al_es_es_fifth_5th.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
fifty (50),cincuenta,/θiŋˈkwen.ta/,[sound:al_es_es_fifty_50.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
fifty-one (51),cincuenta y uno,/θiŋˈkwen.ta i ˈu.no/,[sound:al_es_es_fifty_one_51.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
fifty-two (52),cincuenta y dos,/θiŋˈkwen.ta i ˈðos/,[sound:al_es_es_fifty_two_52.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
first (1st),primero,/pɾiˈme.ɾo/ /pɾiˈme.ɾa/,[sound:al_es_es_first_1st.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
five (5),cinco,/ˈθiŋ.ko/,[sound:al_es_es_five_5.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
flat,plano,/ˈpla.no/,[sound:al_es_es_flat.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
food,la comida,/la koˈmi.ða/,[sound:al_es_es_food.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
forty (40),cuarenta,/kwaˈɾen.ta/,[sound:al_es_es_forty_40.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
forty-one (41),cuarenta y uno,/kwaˈɾen.ta i ˈu.no/,[sound:al_es_es_forty_one_41.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
forty-two (42),cuarenta y dos,/kwaˈɾen.ta i ˈðos/,[sound:al_es_es_forty_two_42.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
four (4),cuatro,/ˈkwa.tɾo/,[sound:al_es_es_four_4.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
fourteen (14),catorce,/kaˈtoɾ.θe/,[sound:al_es_es_fourteen_14.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
fourth (4th),cuarto / cuarta,/ˈkwaɾ.to/ /ˈkwaɾ.ta/,[sound:al_es_es_fourth_4th.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
Friday,viernes,/ˈbjeɾ.nes/,[sound:al_es_es_friday.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
glass [material],el vidrio,/el ˈbi.ðɾjo/,[sound:al_es_es_glass.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
God,Dios,/ˈdjos/,[sound:al_es_es_god.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
gold,el oro,/el ˈo.ɾo/,[sound:al_es_es_gold.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
good,bueno,/ˈbwe.no/,[sound:al_es_es_good.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
gray,gris,/ɡɾis/,[sound:al_es_es_gray.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Gacrux,AnkiLangs::ES
green,verde,/ˈbeɾðe/,[sound:al_es_es_green.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
happy,feliz,/feˈliθ/,[sound:al_es_es_happy.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
hard,duro,/ˈdu.ɾo/,[sound:al_es_es_hard.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
he,él,/el/,[sound:al_es_es_he.mp3],Google Cloud TTS<br>Voice: es-ES-Chirp3-HD-Despina,AnkiLangs::ES
healthy,sano,/ˈsa.no/,[sound:al_es_es_healthy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
heaven,el cielo,/el ˈθje.lo/,[sound:al_es_es_heaven.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
heavy,pesado,/peˈsa.ðo/,[sound:al_es_es_heavy.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
hell,el infierno,/el inˈfjɛɾ.no/,[sound:al_es_es_hell.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
high,alto,/ˈal.to/,[sound:al_es_es_high.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
hot,caliente,/kaˈljeŋ.te/,[sound:al_es_es_hot.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
I,yo,/ʝo/,[sound:al_es_es_i.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
it,eso / esto,/ˈe.so/ /ˈes.to/,[sound:al_es_es_it.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
January,enero,/eˈne.ɾo/,[sound:al_es_es_january.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
juice,el zumo,/el ˈθumo/,[sound:al_es_es_juice.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-F,AnkiLangs::ES
July,julio,/ˈxu.ljo/,[sound:al_es_es_july.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
June,junio,/ˈxu.njo/,[sound:al_es_es_june.mp3],Google Cloud TTS<br>Voice: es-ES-Studio-C,AnkiLangs::ES
